,x,expansion
2260,lgs,let's go shopping!
2261,lhao,laughing her ass off
2262,lhs,lets have sex
2263,lhsrn,let's have sex right now
2264,lia,life is awesome
2265,liaoyb,Like it's any of your business
2266,lic,like i care
2267,liec,like i even care
2268,liek,like
2269,liekz,likes
2270,lifo,last in first out
2271,ligad,Like I give a damn
2272,ligaff,like I give a flying fuck
2273,ligafs,like I give a flying shit
2274,ligas,like I give a shit
2275,lih,Laugh in head
2276,liita,love is in the air
2277,lik,like
2278,lil,little
2279,lim,Like it Matters
2280,limh,laugh in my head
2281,liol,laugh insanely out loud
2282,lirl,laughing in real life
2283,liu,Look It Up
2284,liv,live
2285,liyf,laughing in your face
2286,lj,live journal
2287,lk,like
2288,lke,like
2289,llap,live long and prosper
2290,llc,laughing like crazy
2291,llf,laugh like fuck
2292,llh,laughing like hell
2293,llol,literally laughing out loud
2294,lltnt,live like theres no tomorrow 
2295,lm4aq,Let's meet for a quickie.
2296,lma,leave me alone
2297,lmamf,leave me alone mother fucker
2298,lmao,laughing my ass off
2299,lmaol,laughing my ass out loud
2300,lmaomtoaoa,Laugh my ass off many times over and over again
2301,lmaonade,laughing my ass off
2302,lmaool,laughing my ass off out loud 
2303,lmaootf,Laughing my ass off on the floor 
2304,lmaorotf,laughing my ass off rolling on the floor
2305,lmap,leave me alone please
2306,lmbao,laughing my black ass off
2307,lmbfwao,laughing my big fat white ass off
2308,lmbo,laughing my butt off
2309,lmcao,laughing my crazy ass off
2310,lmclao,laughing my cute little ass off
2311,lmd,Lick My dick
2312,lmfao,laughing my fucking ass off
2313,lmfbo,laugh my fucking butt off
2314,lmffao,laughing my fucking fat ass off
2315,lmffo,Laughing my fucking face off
2316,lmfho,laughing my fucking head off
2317,lmfo,laughing my face off
2318,lmfpo,laughing my fucking pussy off
2319,lmfr,Lets Meet For Real
2320,lmfto,laughing my fuckin tits off
2321,lmg,let me guess
2322,lmgdao,Laughing My God damn ass Off
2323,lmgtfy,Let me Google that for you
2324,lmhao,laughing my hairy ass off
2325,lmho,laughing my heiny off
2326,lmip,LETS MEET IN PERSON
2327,lmirl,Let's meet in real life
2328,lmk,let me know
2329,lmks,Let Me Know Soon
2330,lmkwc,Let me know when clear
2331,lmkwut,let me know what you think
2332,lml,love my life
2333,lmmfao,laughing my mother fucking ass off
2334,lmmfaos,laughing my mother fucking ass off silly
2335,lmmfas,laugh my mother fuckin ass off
2336,lmmffao,laughing my mother fucking fat ass off
2337,lmo,Leave Me One
2338,lmoao,Laughing my Other ass Off
2339,lmp,lick my pussy
2340,lmpitw,let me put it this way
2341,lmpo,laughing my panties off
2342,lms,leave me some
2343,lmsao,laughing my sexy ass off
2344,lmso,laughing my socks off
2345,lmtd,limited
2346,lmtfa,leave me the fuck alone
2347,lmto,laughing my tits off
2348,lmtus,let me tell you something
2349,lmty,laughing more than you
2350,lmvo,laugh my vagina off
2351,ln,last name
2352,lnk,Link
2353,lobfl,Laugh Out Bloody fucking Loud
2354,lobl,laugh out bloody loud
2355,lof,Laughing on floor
2356,lofi,uncool
2357,lofl,laugh out fucking loud
2358,loflmao,laying on floor laughing my ass off
2359,loi,laughing on the inside
2360,lol,laughing out loud
2361,lol'd,laughed out loud
2362,lol2u,Laugh out loud to you
2363,[email protected],Laugh out loud at you
2364,lolarotf,laughing out loud and rolling on the floor
2365,lolaw,laugh out loud at work
2366,lolbs,laugh out loud but seriously
2367,lolcano,laugh out loud
2368,lolci,laughing out loud crying inside
2369,lolcity,the whole city laughs out loud
2370,lold,laughed out loud
2371,lolees,laugh out loud
2372,lolerz,laugh out loud
2373,lolf,lots of love forever
2374,lolin,laughing out loud
2375,lolio,laugh out loud I own
2376,lollam,Laughing Out Loud Like A Maniac
2377,lollercaust,an extreme event of hilarity
2378,lollercoaster,laugh out loud a lot
2379,lollerskates,laughing out loud
2380,lolm,laugh out loud man
2381,loln,laught out loud... not
2382,lolngs,laghing out loud never gonna stop
2383,lolocost,laugh out loud
2384,lolol,saying lol out loud
2385,lololz,laugh out loud
2386,lolpimp,Laughing out loud peeing in my pants
2387,lolq,laugh out loud quietly
2388,lolrof,Laughing out loud while rolling on the floor.
2389,lolrotf,laughing out loud rolling on the floor
2390,lols,laugh out loud 
2391,lolvq,laugh out loud very quietly
2392,lolwtime,laughing out loud with tears in my eyes
2393,lolz,laugh out loud
2394,lomg,like oh my god
2395,loml,love of my life
2396,lomy,love of my life
2397,loomm,laughing out of my mind
2398,lorl,laugh out real loud
2399,lorrl,laugh out really really loud
2400,lotf,laughing on the floor
2401,loti,laughing on the inside
2402,loto,laughing on the outside
2403,lotr,lord of the rings
2404,lov,love
2405,lovu,love you
2406,loxen,laughing out loud
2407,loxxen,laughing out loud
2408,lozer,loser
2409,lpb,low ping bastard
2410,lpiaw,Large Penis is always welcome
2411,lpms,life pretty much sucks
2412,lq,Laughing Quietly
2413,lq2m,laughing quietly to myself
2414,lqtm,Laugh quietly to myself
2415,lqtms,Laughing quietly to myself
2416,lqts,laughing quietly to self
2417,lrfl,Laughing really fucking loud
2418,lrh,laughing really hard
2419,lrqtms,laughing really quietly to myself
2420,lrt,last retweet
2421,lsfw,Less Safe For Work
2422,lshic,laughing so hard i'm crying
2423,lshid,laugh so hard i die
2424,lshifabmh,Laughing so hard I fell and broke my hip
2425,lshipmp,Laughing so Hard I Piss My Pants
2426,lshismp,laughed so hard I shit my pants
2427,lshiwms,laughing so hard I wet myself
2428,lshmson,laughing so hard milk shot out nose
2429,lshrn,laughing so hard right now
2430,lsmih,laughing so much it hurts
2431,lsr,loser
2432,lsudi,Lets see you do it
2433,lt,long time
2434,ltb,looking to buy
2435,lthtt,laughing too hard to type
2436,ltip,laughting until I puke
2437,ltl,Let's talk later
2438,ltm,listen to me
2439,ltmq,Laugh To Myself Quietly
2440,ltms,Laughing to my self
2441,ltnc,Long time no see
2442,ltns,long time no see
2443,ltnsoh,Long time no see or hear
2444,ltnt,long time no talk
2445,ltp,Lay the pipe
2446,ltr,later
2447,lttpot,laughing to the point of tears
2448,ltw,Lead The Way
2449,ltywl,love the way you lie
2450,lu2,love you too
2451,lu2d,love you to death
2452,lu4l,love you for life
2453,lub,laugh under breath
2454,luf,love
2455,luff,Love
2456,lug,lesbian until graduation
2457,luk,look
2458,lukin,looking
2459,lul,love you lots
2460,lulab,Love you like a brother
2461,lulas,Love You Like a Sister
2462,lulz,Laughing out loud.
2463,lumumi,Love you miss you mean it
2464,lurker,one who reads but doesn't reply
2465,lurve,love
2466,luser,user who is a loser
2467,lusm,love you so much
2468,luv,love
2469,luver,lover
2470,luvuvm,love you very much
2471,luvv,love
2472,luzar,Loser
2473,lv,love
2474,lve,Love
2475,lvl,level
2476,lvn,loving
2477,lvr,lover
2478,lvya,love you
2479,lwih,look what I have
2480,lwn,last week's news
2481,lwwy,Live While We\'re Young
2482,ly,love you
2483,ly2,love you to
2484,lya,love you always
2485,lyaab,Love you as a brother
2486,lyaaf,Love you as a friend
2487,lyao,laugh your ass off
2488,lybo,laugh your butt off
2489,lyf,life
2490,lyfao,laughing your fucking ass off
2491,lyfe,life
2492,lyk,like
2493,lyk3,like
2494,lyke,like
2495,lyl,love you lots
2496,lylab,love you like a brother
2497,lylaba,love you like a brother always
2498,lylad,love you like a dad
2499,lylafklc,love you like a fat kid loves cake
2500,lylal,love you lots and lots
2501,lylam,love you like a mom
2502,lylas,I love you like a sister
2503,lylasa,love you like a sister always
2504,lylno,Love you like no other
2505,lymi,love you mean it
2506,lysfm,love you so fucking much
2507,lysm,love you so much
2508,lyt,love you too
2509,lyvm,love you very much
2510,lzer,laser
2511,lzr,loser
2512,m$,Microsoft
2513,m$wxp,Microsoft Windows XP
2514,m&d,mom and dad
2515,m.i.a,Missing In Action
2516,m.o,makeout
2517,m/b,maybe
2518,m/f,male or female
2519,m2,me too
2520,m3,me
2521,m473s,friends
2522,m473z,friends
2523,m4f,male for female
2524,m4m,male for male
2525,m8,friend
2526,m84l,mate for life
2527,m8s,mates
2528,m8t,mate
2529,m8t's,friends
2530,m9,mine
2531,mabby,maybe
2532,mabe,Maybe
2533,maga,make America great again
2534,mah,my
2535,mai,my
2536,mao,my ass off
2537,marvy,marvelous
2538,masterb8,masterbate
2539,mastrb8,masturbate.
2540,mayb,maybe
2541,mayte,mate
2542,mb,my bad
2543,mbf,my best friend
2544,mbfal,my best friend and lover
2545,mbhsm,My Boobs Hurt So Much
2546,mbl8r,Maybe Later
2547,mcds,mcdonalds
2548,Mcm,Man crush Monday 
2549,mcs,My computer sucks
2550,mcse,Microsoft Certified Systems Engineer
2551,mdf,my dear friend
2552,mdk,murder death kill
2553,me2,me too
2554,meatcurtain,woman's private parts
2555,meatspace,the real world
2556,meeh,me
2557,mego,my eyes glaze over
2558,meh,whatever
2559,messg,message
2560,mf,motherfucker
2561,mf2f4sx,meet face to face for sex
2562,mfa,mother fucking asshole
2563,mfah,motherfucking asshole
2564,mfao,my fucking ass off
2565,mfb,mother fucking bitch
2566,mfer,motherfucker
2567,mfg,merge from current
2568,mfkr,motherfucker
2569,mflfs,married female looking for sex
2570,mfr,motherfucker
2571,mfw,my face when
2572,mgiwjsdchmw,my girlfriend is watching jeff so don't call her my wife
2573,mgmt,management 
2574,mhh,my head hurts
2575,mhm,Yes
2576,mho,My Humble Opinion
2577,mia,Missing In Action
2578,mic,microphone
2579,miid,my internet is down
2580,milf,Mom i'd like to fuck
2581,miltf,Mom I'd like to fuck
2582,min,minute
2583,mins,minutes
2584,miq,make it quick
2585,mir,mom in room
2586,mirl,meet in real life
2587,misc.,miscellaneous
2588,miself,myself
2589,mite,might
2590,miw,mom is watching
2591,miwnlf,mom I would not like to fuck.
2592,mk,mmm....ok
2593,mkay,ok
2594,mlc,mid life crisis
2595,mle,emily
2596,mlg,Major League Gaming
2597,mlia,my life is amazing
2598,mlm,multi level marketer
2599,mlod,mega laugh out loud of doom
2600,mlp,my little pony
2601,mmamp,Meet me at my place
2602,mmas,meet me after school
2603,mmatc,meet me around the corner
2604,mmatp,meet me at the park
2605,mmbocmb,message me back or comment me back
2606,mmd,make my day
2607,mmiw,my mom is watching
2608,mmk,umm ok
2609,mml,making me laugh
2610,mml8r,meet me later
2611,mmlfs,married man looking for sex
2612,mmmkay,okay
2613,mmo,Massive Multiplayer Online
2614,mmorpg,massively multiplayer online role playing game
2615,mmt,meet me there
2616,mmtyh,My mom thinks you're hot
2617,mmw,making me wet
2618,mngmt,management
2619,mngr,manager
2620,mnm,eminem
2621,mnt,More next time
2622,mobo,motherboard
2623,mof,matter of fact
2624,mofo,mother fucker
2625,moh,Medal Of Honor
2626,mohaa,Medal of Honor Allied Assult
2627,mol,more or less
2628,mompl,moment please
2629,moobs,man boobs
2630,mor,more
2631,morf,male or female
2632,moro,tomorrow
2633,mos,mom over shoulder
2634,moss,member of same sex
2635,motarded,more retarded
2636,motd,message of the day
2637,motos,member of the opposite sex
2638,mpaw,my parents are watching
2639,mpbis,most popular boy in school
2640,mpd,Multiple Personality Disorder
2641,mpgis,most popular girl in school
2642,mph,miles per hour
2643,mpih,my penis is hard
2644,mpty,more power to you
2645,mrau,message received and understood
2646,msf,male seeking female
2647,msg,message
2648,msgs,messages
2649,msh,Me so horny
2650,msibo,my side is busting open
2651,msie,microsoft's internet explorer
2652,msm,main stream media
2653,msmd,monkey see - monkey do
2654,msngr,messenger
2655,mssg,message
2656,mstrb8r,masturbator
2657,msv,Microsoft Vista
2658,mtc,more to come
2659,mtf,More to Follow
2660,mtfbwu,may the force be with you
2661,mtfbwy,May the Force be with you
2662,mtg,Meeting
2663,mtherfker,mother fucker
2664,mthrfkr,mother fucker
2665,mtl,more than likely
2666,mtr,matter
2667,mtrfkr,motherfucker
2668,mty,empty
2669,mu,miss you
2670,mudda,mother
2671,mul,miss you lots
2672,musiq,music
2673,musm,Miss You So Much
2674,mutha,mother
2675,muvva,mother
2676,muzik,music
2677,mw2,modern warfare 2
2678,mwah,kiss
2679,mwf,Married White Female
2680,mwsmirl,maybe we should meet in real life
2681,myfb,mind your fucking business
2682,myke,man-dyke
2683,myn,mine
2684,myob,mind your own business
2685,myodb,mind your own damn business
2686,myofb,mind your own fucking business
2687,mypl,my young padawan learner
2688,mysm,Miss you so much
2689,myspce,myspace
2691,n e,any
2692,n/a,not applicable
2693,n/a/s/l,name age sex location
2694,n/c,no comment
2695,n/m,nevermind
2696,n/n,nickname
2697,n/o,no offense
2698,n/r,No replys 
2699,n/t,no text
2700,n00b,newbie
2701,n00bs,newbies
2702,n00dz,nudes
2703,n00s,news
2704,n1,nice one
2705,n199312,african american
2706,n1994,african american
2707,n2,into
2708,n2b,not too bad
2709,n2bb,nice to be back
2710,n2bm,Not to be mean
2711,n2br,not to be rude
2712,n2g,Not too good
2713,n2m,not too much
2714,n2mh,not too much here
2715,n2mhbu,not too much how about you?
2716,n2mhjc,not too much here just chillin
2717,n2mu,not too much you
2718,n2n,need to know
2719,n2p,need to pee
2720,n64,Nintendo 64
2721,n8v,native
2722,na,not applicable
2723,na4w,not appropriate for work
2724,naa,not at all
2725,nade,grenade
2726,nafc,Not Appropriate for Children
2727,nafkam,Not Away From Keyboard Any More
2728,naft,Not A fucking Thing
2729,nafta,North American Free Trade Agreement
2730,nah,no
2731,namh,not at my house
2732,nao,Not As Often
2733,natch,naturally
2734,natm,not at the minute
2735,naw,no
2736,naw-t,Naughty
2737,nawidt,never again will i do that
2738,nawt,not
2739,naww,no
2740,nayl,in a while
2741,nb,not bad
2743,nba,national basketball association 
2744,nbd,no big deal
2745,nbdy,nobody
2746,nbf,never been fucked
2747,nc,not cool
2748,ncaa,National Collegiate Athletic Association
2749,ncs,no crap sherlock
2750,nd,and
2751,ndit,No details in thread
2752,ndn,indian
2753,nds,Nintendo DS
2754,ne,any
2755,ne1,anyone
2756,neday,any day
2757,nedn,any day now
2758,nefing,anything
2759,negl,not even going to lie
2760,nei,Not enough information
2761,neida,any idea
2762,nekkid,naked
2763,nemore,Anymore
2764,nes,Nintendo Entertainment System
2765,nethin,anything
2766,nething,anything
2767,neva,never
2768,nevah,never
2769,nevar,Never
2770,nevarz,never
2771,nevm,never mind
2772,nevr,never
2773,newais,Anyways
2774,neway,anyway
2775,neways,anyways
2776,newayz,anyways
2777,newb,someone who is new
2778,newbie,new player
2779,newez,anyways
2780,nf,not funny
2781,nfbsk,not for british school kids
2782,nfc,no fucking clue
2783,nfd,no fucking deal
2784,nff,not fucking fair
2785,nfi,no fucking idea
2786,nfr,not for real
2787,nfs,not for sale
2788,nft,no further text
2789,nfw,no fucking way
2790,ngaf,nobody gives a fuck
2791,ngl,Not Gonna Lie
2792,nh,nice hand
2793,ni,no idea
2794,ni994,nigga
2795,nib,new in box
2796,nic,Network Interface Card
2797,nif,non internet friend
2798,nifoc,naked in front of computer
2799,nifok,naked in front of keyboard
2800,nigysob,now I've got you son of a bitch
2801,nimby,not in my backyard
2802,nin,no its not
2803,nip,nothing in particular
2804,nips,nipples
2805,nite,night
2806,nitfm,not in the fucking mood
2807,nitm,Not in the mood
2808,niwdi,no I won\'t do it
2809,nizzle,nigger
2810,nj,Nice job
2811,njoy,enjoy
2812,njp,nice job partner
2813,nk,no kidding
2814,nkd,Naked
2815,nkt,never knew that
2816,nld,nice lay down
2817,nm,not much
2818,nm u,not much you
2819,nmbr,number
2820,nme,enemy
2821,nmf,not my fault
2822,nmfp,not my fucking problem
2823,nmh,not much here
2824,nmhau,nothing much how about you
2825,nmhbu,nothing much how about you
2826,nmhm,nothing much here man
2827,nmhu,nothing much here you
2828,nmhwby,nothing much here what about you
2829,nmjb,nothing much just bored
2830,nmjc,not much just chilling
2831,nmjch,Nothing Much Just Chilling
2832,nmjcu,nothing much just chilling you
2833,nmjdhw,nothing much just doing homework
2834,nmjfa,nothing much just fucking around
2835,nmnhnlm,no money no honey nobody loves me
2836,nmp,Not My Problem
2837,nmu,nothing much you
2838,nmw,no matter what
2839,nmwh,no matter what happens
2840,nn,good night
2841,nn2r,no need to respond
2842,nnaa,no not at all
2843,nnfaa,no need for an apology
2844,nnr,no not really
2845,nntr,no need to reply
2846,nntst,no need to say thanks
2847,noe,know
2848,noes,no
2849,nofi,No Flame Intended
2850,nolm,No one loves me
2851,nomw,not on my watch
2852,noob,someone who is new
2853,noobie,new person
2854,nooblet,new player
2855,noobz0r,newbie
2856,noodz,nude pictures
2857,nookie,sex
2858,nop,normal operating procedure
2859,NORWICH,knickers off ready when I come home
2860,notin,nothing
2861,noty,no thank you
2862,noub,none of your business
2863,nowin,knowing
2864,noygdb,none of your god damn business
2865,np4np,naked pic for naked pic
2866,npc,Non-playable character
2867,npgf,no problem girl friend
2868,npi,no pun intended
2869,nps,No Problems
2870,nqa,no questions asked
2871,nthg,nothing
2872,nthin,nothing
2873,nthn,nothing
2874,ntigaf,not that i give a fuck
2875,ntk,Need to know
2876,ntkb,need to know basis
2877,ntm,not to much
2878,ntmk,Not to my knowledge
2879,ntmu,nice to meet you
2880,ntmy,nice to meet you
2881,ntn,nothing
2882,ntrly,Not Really
2883,nts,note to self
2884,ntstt,not safe to talk 
2885,ntt,need to talk
2886,ntta,nothing to talk about 
2887,nttawwt,Not that there is anything wrong with that
2888,nttiawwt,Not that there is anything wrong with that
2889,ntty,nice talking to you
2890,ntw,not to worry
2891,ntxt,no text
2892,nty,no thank you
2893,nu,new
2894,nub,inexperienced person
2895,nuff,enough
2896,nuffin,nothing
2897,nufin,nothing
2898,nutin,nothing
2899,nuttin,nothing
2900,nv,envy
2901,nvm,never mind
2902,nvmd,nevermind
2903,nvmdt,never mind then
2904,nvmt,nevermind that
2905,nvr,never
2906,nvrm,Nevermind
2907,nvrmnd,never mind 
2908,nw,now watching
2909,nwb,a new person
2910,nwih,no way in hell
2911,nwj,No Way Jose
2912,nwo,new world order
2913,nwrus,no way are your serious 
2914,nws,not work safe
2915,nwtf,now what the fuck
2916,nwy,no way
2917,nxt,next
2918,o rly,oh really
2919,o&o,over and out
2920,o.p.,Original Poster
2921,o/y,oh yeah
2922,oaoa,over and over again
2923,oar,on a roll
2924,oaw,on a website
2925,obgjfioyo,old but good job finding it on your own
2926,obj,Object
2927,obl,osama bin laden
2928,obo,or best offer
2929,obtw,oh by the way
2930,obv,obviously
2931,obvi,obviously
2932,occ,Occupation
2933,ocd,obsessive compulsive disorder
2934,ocgg,Oh Crap gotta go
2935,od,over dose
2936,oday,software illegally obtained before it was released
2937,odg,oh dear God
2938,odtaa,one damn thing after another
2939,oe,or else
2940,oed,oxford english dictionary
2941,of10,often
2942,ofc,of course
2943,ofcol,oh for crying out loud
2944,ofn,Old fucking News
2945,oftc,out for the count
2946,oftn,often
2947,oftpc,off topic
2948,ofwg,old fat white guys
2949,og,original gangster
2950,ogw,oh guess what
2951,oh noes,oh shit!
2952,oh noez,Oh no!
2953,ohic,oh I see
2954,ohn,oh hell no
2955,ohnoez,Oh no
2956,ohy,oh hell yeah
2957,oibmpc,oops I broke my computer
2958,oic,oh I see
2959,oicic,oh i see i see
2960,oicu,oh I see you
2961,oicwydt,oh I see what you did there
2962,oidia,oops i did it again
2963,oink,Oh I Never Knew
2964,oiyd,Only In Your Dreams
2965,oj,orange juice
2966,ojsu,Oh just shut up
2967,ok,okay
2968,oll,online love
2969,olpc,One Laptop Per Child
2970,omdg,oh my dear god
2971,omdz,Oh My Days 
2972,omfd,oh my fucking days
2973,omfg,oh my fucking god
2974,omfgn,Oh my fucking god noob
2975,omfgsh,Oh My fucking Gosh
2976,omfj,oh my fucking jesus
2977,omfl,oh my fucking internet connection is slow
2978,omfsm,Oh My Flying Spaghetti Monster
2979,omfwtg,Oh My fuck What The God?
2980,omg,oh my God
2981,omg's,oh my god's
2982,omgd,Oh my gosh dude
2983,omgf,oh my god...fuck!
2984,omgg,Oh my gosh girl
2985,omgicfbi,Oh my god I can't fucking believe it
2986,omgih,Oh My God In Heaven
2987,omgihv2p,oh my god i have to pee
2988,omginbd,Oh my God It's no big deal
2989,omgn,oh my goodness
2990,omgny,oh my god no way
2991,omgosh,Oh my gosh
2992,omgroflmao,oh my god roll on the floor laughing my ass off
2993,omgsh,oh my gosh
2994,omgty,Oh my god thank you
2995,omgukk,oh my god you killed kenny
2996,omgwtf,on my God what the fuck
2997,OMGWTFBBQ,oh my God what the fuck
2998,omgwtfhax,Oh My God What The fuck Hacks!
2999,omgwtfit,Oh my God what the fuck is that
3000,OMGWTFNIPPLES,on my God what the fuck
3001,omgyg2bk,oh my god you got to be kidding
3002,omgz,oh my God
3003,omgzors,oh my god
3004,ptfo,passed the fuck out
3005,pthc,preteen hardcore
3006,ptl,Praise the Lord
3007,pto,Personal Time Off 
3008,ptw,play to win 
3009,puh-leaze,Please
3010,purty,pretty
3011,puter,Computer
3012,pvp,player versus player
3013,pvt,pervert
3014,pw,parent watching
3015,pwb,pussy whipped bitch
3016,pwcb,parents watching close by
3017,pwd,password
3018,pwn,made to look bad
3019,pwn3r,owner
3020,pwnage,Ownage
3021,r8pist,rapist
3022,r8t,rate
3023,ra2,red alert 2
3024,raoflmao,rolling around on floor laughing my ass off
3025,rawk,Rock
3026,rawks,rocks
3027,rawr,roar
3028,[email protected],right back at you
3029,rbau,right back at you
3030,rbay,right back at you
3031,rbm,right behind me
3032,rbtl,Read between the lines
3033,rbty,right back to you
3034,rcks,Rocks
3035,rcsa,right click save as
3036,rcvd,received
3037,rdy,ready
3038,re,reply
3039,re/rehi,hello again
3040,reefer,marijuana
3041,refl,rolling on the floor laughing
3042,rehi,hello again
3043,rele,really
3044,rents,parents
3045,rentz,parents
3046,rep,to represent
3047,reppin,representing
3048,retrotextual,One who is using out of date words and abbreviations while texting.
3049,rff,really fucking funny
3050,rflmao,rolling on the floor laughing my ass off
3051,rfn,right fucking now
3052,rgr,roger
3053,rhcp,red hot chilli peppers
3054,rhgir,really hot guy in room
3055,rhs,right hand side
3056,ricl,rolling in chair laughing
3057,rifk,rolling on the floor laughing
3058,rihad,Rot In Hell And Die
3059,rino,republican in name only
3060,rite,right
3061,ritjive,non virgin
3062,rjct,reject
3063,rl,real life
3064,rlbf,Real Life Boy Friend
3065,rlf,Real Life Friend
3066,rlg,really loud giggle
3067,rlgf,Real Life Girl Friend
3068,rlly,really
3069,rln,real life name
3070,rly,really
3071,rlz,rules
3072,rlze,realize
3073,rm,room
3074,rmao,rolling my ass off
3075,rme,rolling my eyes
3076,rmr,remember
3077,rmso,Rock My socks off
3078,rn,Right now
3079,rnt,aren't
3080,ro,rock out
3081,rockr,rocker
3082,rodger,affirmative
3083,rofalol,roll on the floor and laugh out loud
3084,rofc,Rolling On Floor Crying
3085,roffle,rolling on the floor laughing
3086,roffle out loud,rolling on the floor laughing out loud
3087,rofflecake,rolling on the floor laughing
3088,rofflecopters,rolling on the floor with laughter
3089,roffleol,rolling on the floor laughing out loud
3090,roffles,rolling on floor laughing
3091,rofflmfao,rolling on the floor laughing my fucking ass
3092,rofl,rolling on the floor laughing
3093,rofl&pmp,rolling on floor laughing and peeing my pants
3094,roflao,rolling on the floor laughing my ass off
3095,roflastc,Rolling On Floor Laughing And Scaring The Cat
3096,roflcopter,Rolling on the floor laughing
3097,roflcopters,rolling on the floor laughing VERY funny.
3098,roflkmd,rolling on the floor laughing kicking my dog
3099,rofllh,rolling on the floor laughing like hell
3100,roflmao,rolling on the floor laughing my ass off
3101,roflmaoapimp,rolling on the floor laughing my ass off and peeing in my pants
3102,roflmaool,Rolling on the floor laughing my ass off out loud
3103,roflmaouts,Rolling on floor laughing my fucking ass off unable to speak
3104,roflmaowpimp,rolling on floor laughing my ass off while peeing in my pants
3105,roflmbfao,Rolling On Floor Laughing My Big Fat ass Off 
3106,roflmbo,rolling on floor laughing my butt off
3107,roflmfao,rolling on the floor laughing my fucking ass off
3108,roflmfaopimp,rolling on the floor laughing my fucking ass off pissing in my pants
3109,roflmfaopmp,rolling on flor laughing my fucking ass of peeing my pants
3110,roflmgao,rolling on the floor laughing my gay ass off
3111,roflmgdao,rolling on the floor laughing my god damn ass off
3112,roflmgdmfao,roling on floor laughing my god damn mother fucking ass off
3113,roflmiaha,Rolling on the floor laughing myself into a heart attack
3114,roflmmfao,rolling on the floor laughing my mother fucking ass off
3115,roflpimp,rolling on the floor laughing pissing in my pants
3116,roflpmp,rolling on the floor laughing peeing my pants
3117,roflwtime,Rolling on the Floor laughing with tears in my eyes
3118,rofwl,Rolling on the floor while laughing
3119,roger,affirmative
3120,rogl,rolling on ground laughing
3121,roi,Return On Investment
3122,roids,steroids
3123,roj,affirmative
3124,rolmao,Rolling Over Laughing My ass Off
3125,rolmfao,rolling over laughing my fucking ass off
3126,romalsh,rolling on my ass laughing so hard
3127,rong,wrong
3128,roofles,rolling on the floor laughing
3129,ror,raughing out roud
3130,rotf,rolling on the floor
3131,rotfalol,roll on the floor and laugh out loud
3132,rotffl,roll on the fucking floor laughing
3133,rotfflmao,rolling on the fucking floor laughing my ass off
3134,rotfflmfao,rolling on the fucking floor laughing my fucking ass off
3135,rotfl,rolling on the floor laughing
3136,rotflaviab,rolling on the floor laughing and vomiting in a bucket
3137,rotflmao,rolling on the floor laughing my ass off
3138,rotflmaofaktd,Rolling on the floor laughing my ass off farted and killed the dog
3139,rotgl,roll on the ground laughing
3140,rotw,rest of the world
3141,rowyco,rock out with your cock out
3142,rox,rocks
3143,roxor,rock
3144,roxorz,rocks
3145,roxxor,rock
3146,rp,roleplay
3147,rpg,role playing game
3148,rpita,royal pain in the ass
3149,rplbk,reply back
3150,rpo,royally pissed off
3151,rq,real quick
3152,rr,rest room
3153,rrb,restroom break
3154,rsn,real soon now
3155,rsp,respawn
3156,rspct,respect
3157,rsps,Runescape Private Server
3158,rta,read the article
3159,rtard,retard
3160,rtbq,Read The Blinking Question
3161,rtf,return the favor
3162,rtfa,read the fucking article
3163,rtffp,Read the fucking front page
3164,rtfm,read the fucking manual
3165,rtfmfm,read the fucking manual fucking moron
3166,rtfmm,read the fucking manual moron
3167,rtfms,Read The fucking Manual Stupid
3168,rtfp,read the fucking post
3169,rtfq,Read The fucking Question
3170,rtfs,read the fucking summary
3171,rtfu,Ready the fuck up
3172,rtl,report the loss
3173,rtm,read the manual
3174,rtr,Read the Rules
3175,rts,Real-time strategy
3176,ru,are you
3177,ru18,are you 18
3178,rua,are you alone
3179,ruabog,are you a boy or girl
3180,ruagoab,are you a girl or a boy
3181,rubz2nt,are you busy tonight
3182,rugay,are you gay
3183,rugta,are you going to answer
3184,ruh,are you horny
3185,rukm,are you kidding me
3186,rul8,Are you late
3187,rumf,Are you male or female
3188,ruok,are you ok?
3189,rur,are you ready
3190,rut,are you there
3191,ruwm,are you watching me
3192,rwb,Rich White bitch
3193,rys,are you single
3194,ryt,right
3195,ryte,right
3197,stbm,sucks to be me
3198,stbx,soon to be ex
3199,stby,sucks to be you
3200,std,sexually transmitted disease
3201,steamloller,Laughing. Alot.
3202,stfd,sit the fuck down
3203,stff,stuff
3204,stfm,search the fucking manual
3205,sthu,shut the hell up
3206,stm,smiling to myself
3207,stoopid,stupid
3208,stpd,stupid
3209,str8,straight
3210,str8up,straight up
3211,sts,so to speak
3212,stsp,Same Time Same Place
3213,stt,Same time tomorrow
3214,stufu,stupid fucker
3215,stupd,stupid
3216,stw,share the wealth 
3217,stys,speak to you soon
3218,su,shut up
3219,sua,see you at
3220,suabq,shut up and be quiet
3221,suagooml,shut up and get out of my life
3222,suib,shut up im busy
3223,suk,suck
3224,suka,Sucker
3225,sukz,sucks
3226,sul,see you later
3227,sum1,someone
3228,sumfin,Something
3229,summin,something
3230,sumone,someone
3231,sumthin',Something
3232,sumtin,something
3233,sup,what's up
3234,supa,super
3235,supposably,Supposedly
3236,sus,see you soon
3237,susfu,situation unchanged still fucked up
3238,sut,see you tomorrow
3239,sutuct,so you think you can type
